Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
1,Snapped lat,Snapped lon,Walk Score,Walk Score Label,Average Block Length (meters),Average Block Length Score,Intersection Density (inscts/mi^2),Intersection Density Score,Transit Score,Transit Score Label,Bike Score,Bike Score Label,City Name,City Walk Score,Rail Stops in 0.5mi,Errands Score,Culture Score,Grocery Score,Park Score,Dining and Drinking Score,School Score,Shopping Score
2,38.901,-77.046,99,Walker's Paradise,104.18,95.82,250.83,83.61,95,Rider's Paradise,67,Bikeable,Washington D.C.,73.20,3,100.00,93.45,97.89,100.00,100.00,99.67,99.63
3,38.9115,-77.0355,97,Walker's Paradise,97.10,100.00,287.75,95.92,92,Rider's Paradise,93,Biker's Paradise,Washington D.C.,73.20,1,97.70,78.34,100.00,100.00,99.50,94.49,98.15
4,38.904,-77.025,98,Walker's Paradise,100.95,99.05,247.01,82.34,100,Rider's Paradise,92,Biker's Paradise,Washington D.C.,73.20,5,99.98,97.27,95.08,100.00,99.77,97.74,95.49
5,38.8995,-77.0385,99,Walker's Paradise,120.64,79.36,184.62,61.54,98,Rider's Paradise,77,Very Bikeable,Washington D.C.,73.20,3,100.00,94.35,98.72,100.00,99.98,100.00,96.78
6,38.91,-77.0475,100,Walker's Paradise,98.83,100.00,255.92,85.31,85,Excellent Transit,90,Biker's Paradise,Washington D.C.,73.20,1,98.91,94.89,100.00,100.00,100.00,100.00,99.20
7,38.9235,-77.0205,87,Very Walkable,131.79,68.21,138.78,46.26,75,Excellent Transit,72,Very Bikeable,Washington D.C.,73.20,0,55.42,48.34,87.50,100.00,94.49,98.69,91.60
8,38.9775,-77.0325,60,Somewhat Walkable,128.79,71.21,110.77,36.92,67,Good Transit,43,Somewhat Bikeable,Washington D.C.,73.20,0,56.74,4.35,80.32,100.00,79.46,69.78,39.40
9,38.8875,-77.025,79,Very Walkable,150.03,49.97,127.32,42.44,96,Rider's Paradise,89,Very Bikeable,Washington D.C.,73.20,6,98.24,99.92,52.64,100.00,95.18,97.01,71.41
10,38.901,-77.0355,99,Walker's Paradise,99.59,100.00,249.55,83.18,100,Rider's Paradise,82,Very Bikeable,Washington D.C.,73.20,4,100.00,98.09,98.47,100.00,100.00,96.14,99.98
